day,start,end,value
25-aug,0,1,1368001
25-aug,1,2,1458583
25-aug,2,3,1481633
25-aug,3,4,1408424
25-aug,4,5,1400597
25-aug,5,6,1548933
25-aug,6,7,1537059
25-aug,7,8,1517383
25-aug,8,9,1544359
25-aug,9,10,1580460
25-aug,10,11,1440710
25-aug,11,12,1417824
25-aug,12,13,1597834
25-aug,13,14,1666670
25-aug,14,15,1707785
25-aug,15,16,1656905
25-aug,16,17,1620539
25-aug,17,18,1487228
25-aug,18,19,1418230
25-aug,19,20,1666497
25-aug,20,21,1739178
25-aug,21,22,1755254
25-aug,22,23,1732520
25-aug,23,24,1702975
26-aug,0,1,1577419
26-aug,1,2,1509311
26-aug,2,3,1688266
26-aug,3,4,1690517
26-aug,4,5,1719390
26-aug,5,6,1693426
26-aug,6,7,1613806
26-aug,7,8,1521449
26-aug,8,9,1473617
26-aug,9,10,1632787
26-aug,10,11,1698088
26-aug,11,12,1702137
26-aug,12,13,1690878
26-aug,13,14,1661660
26-aug,14,15,1445139
26-aug,15,16,1392075
26-aug,16,17,1565855
26-aug,17,18,1622609
26-aug,18,19,1593628
26-aug,19,20,1564282
26-aug,20,21,1569010
26-aug,21,22,1458216
26-aug,22,23,1338981
27-aug,0,1,1500834
27-aug,1,2,1424820
27-aug,2,3,1607011
27-aug,3,4,1615301
27-aug,4,5,1559021
27-aug,5,6,1547753
27-aug,6,7,1508006
27-aug,7,8,1309583
27-aug,8,9,1189917
27-aug,9,10,1365881
27-aug,10,11,1403679
27-aug,11,12,1403001
27-aug,12,13,1397280
27-aug,13,14,1367524
27-aug,14,15,1251964
27-aug,15,16,1159217
27-aug,16,17,1334292
27-aug,17,18,1391104
27-aug,18,19,1366559
27-aug,19,20,1342872
27-aug,20,21,1327773
27-aug,21,22,1268340
27-aug,22,23,1276517
28-aug,0,1,1283014
28-aug,1,2,1270569
28-aug,2,3,1293570
28-aug,3,4,1293439
28-aug,4,5,1150461
28-aug,5,6,1050257
28-aug,6,7,1209470
28-aug,7,8,1260725
28-aug,8,9,1285887
28-aug,9,10,1266011
28-aug,10,11,1234722
28-aug,11,12,1100005
28-aug,12,13,1034963
28-aug,13,14,1221402
28-aug,14,15,1265036
28-aug,15,16,1279159
28-aug,16,17,1266882
28-aug,17,18,1241239
28-aug,18,19,1153081
28-aug,19,20,1082812
28-aug,20,21,1084284
28-aug,21,22,1245400
28-aug,22,23,1248887
28-aug,23,24,1235617
29-aug,0,1,1036144
29-aug,1,2,1156135
29-aug,2,3,1106555
29-aug,3,4,1041413
29-aug,4,5,1182786
29-aug,5,6,1192434
29-aug,6,7,1193624
29-aug,7,8,1047831
29-aug,8,9,1106669
29-aug,9,10,1043170
29-aug,10,11,1000001
29-aug,11,12,1205405
29-aug,12,13,1247394
29-aug,13,14,1238560
29-aug,14,15,1223267
29-aug,15,16,1199465
29-aug,16,17,1040418
29-aug,17,18,952650
29-aug,18,19,1126219
29-aug,19,20,1155800
29-aug,20,21,1173902
29-aug,21,22,1167218
29-aug,22,23,1160702
29-aug,23,24,1034886
30-aug,0,1,935590
30-aug,1,2,1119046
30-aug,2,3,1150676
30-aug,3,4,1169570
30-aug,4,5,1162795
30-aug,5,6,1147372
30-aug,6,7,1004244
30-aug,7,8,921713
30-aug,8,9,968196
30-aug,9,10,1140341
30-aug,10,11,1152976
30-aug,11,12,1165844
30-aug,12,13,1154469
30-aug,13,14,999352
30-aug,14,15,917310
30-aug,15,16,1106649
30-aug,16,17,1141077
30-aug,17,18,1143086
30-aug,18,19,1149995
30-aug,19,20,1141059
30-aug,20,21,1008542
30-aug,21,22,939065
30-aug,22,23,1129289
30-aug,23,24,1161838
31-aug,0,1,1143862
31-aug,1,2,1150514
31-aug,2,3,1167512
31-aug,3,4,1150024
31-aug,4,5,1008307
31-aug,5,6,934687
31-aug,6,7,1106666
31-aug,7,8,1143473
31-aug,8,9,1154196
31-aug,9,10,1167145
31-aug,10,11,1151100
31-aug,11,12,1006581
31-aug,12,13,930137
31-aug,13,14,941594
31-aug,14,15,1126558
31-aug,15,16,1166553
31-aug,16,17,1187503
31-aug,17,18,1182767
31-aug,18,19,1030447
31-aug,19,20,934780
31-aug,20,21,1107315
31-aug,21,22,1147785
31-aug,22,23,1161849
31-aug,23,24,1169049
01-sep,0,1,1071402
01-sep,1,2,951503
01-sep,2,3,878472
01-sep,3,4,996356
01-sep,4,5,1016188
01-sep,5,6,1022237
01-sep,6,7,1027197
01-sep,7,8,1024299
01-sep,8,9,922671
01-sep,9,10,872742
01-sep,10,11,974684
01-sep,11,12,988100
01-sep,12,13,988993
01-sep,13,14,981883
01-sep,14,15,893681
01-sep,15,16,894506
01-sep,16,17,858478
01-sep,17,18,991784
01-sep,18,19,1022889
01-sep,19,20,1031167
01-sep,20,21,1038878
01-sep,21,22,1042880
01-sep,22,23,951127
01-sep,23,24,896613